title,released,year set,years elapsed,decade,medium,genre,author,wikidataID
Southland Tales,2006,2008,2,2000,film,science fiction film,,http://www.wikidata.org/entity/Q1476272
The Fatal Eggs,1925,1928,3,1920,fiction,science fiction novel,Mikhail Bulgakov,http://www.wikidata.org/entity/Q2524790
Virtuosity,1995,1999,4,1990,film,science fiction film,,http://www.wikidata.org/entity/Q187414
Escape from the Bronx,1983,1990,7,1980,film,science fiction film,,http://www.wikidata.org/entity/Q1757183
Soumission,2015,2022,7,2010,fiction,science fiction novel,Michel Houellebecq,http://www.wikidata.org/entity/Q18643289
Parasite,1982,1990,8,1980,film,science fiction film,,http://www.wikidata.org/entity/Q1194793
Parasite,1982,1990,8,1980,film,science fiction film,,http://www.wikidata.org/entity/Q1194793
Her,2013,2025,12,2010,film,science fiction film,,http://www.wikidata.org/entity/Q788822
Double Dragon,1994,2007,13,1990,film,science fiction film,,http://www.wikidata.org/entity/Q2532981
Escape from New York,1981,1997,16,1980,film,science fiction film,,http://www.wikidata.org/entity/Q403033
The Space Between Us,2017,2034,17,2010,film,science fiction film,,http://www.wikidata.org/entity/Q21450478
Athènes en 1840,1822,1840,18,1820,fiction,futuristic fiction,Félix Bodin,http://www.wikidata.org/entity/Q64491398
First Contract,2000,2020,20,2000,fiction,science fiction,Greg Costikyan,http://www.wikidata.org/entity/Q30753920
Barb Wire,1996,2017,21,1990,film,science fiction film,,http://www.wikidata.org/entity/Q807302
Barb Wire,1996,2017,21,1990,film,science fiction film,,http://www.wikidata.org/entity/Q807302
Do Androids Dream of Electric Sheep?,1968,1992,24,1960,fiction,science fiction,Philip K. Dick,http://www.wikidata.org/entity/Q605249
Back to the Future Part II,1989,2015,26,1980,film,science fiction film,,http://www.wikidata.org/entity/Q109331
Johnny Mnemonic,1995,2021,26,1990,film,science fiction film,,http://www.wikidata.org/entity/Q1129069
A novel of the next century,1872,1900,28,1870,fiction,futuristic fiction,Mór Jókai,http://www.wikidata.org/entity/Q64456751
1984,1956,1984,28,1950,film,science fiction film,,http://www.wikidata.org/entity/Q664787
Akira,1988,2019,31,1980,film,science fiction film,,http://www.wikidata.org/entity/Q1905968
Nineteen Eighty-Four,1949,1984,35,1940,fiction,science fiction novel,George Orwell,http://www.wikidata.org/entity/Q208460
The Congress,2013,2050,37,2010,film,science fiction film,,http://www.wikidata.org/entity/Q3520383
The Running Man,1982,2020,38,1980,fiction,science fiction novel,Stephen King,http://www.wikidata.org/entity/Q25551
Lipton Cockton in the Shadows of Sodoma,1995,2037,42,1990,film,science fiction film,,http://www.wikidata.org/entity/Q106224276
1. April 2000,1952,2000,48,1950,film,science fiction film,,http://www.wikidata.org/entity/Q161700
Event Horizon,1997,2047,50,1990,film,science fiction film,,http://www.wikidata.org/entity/Q849162
The Wandering Earth,2019,2070,51,2010,film,science fiction film,,http://www.wikidata.org/entity/Q57966215
Mafia: The Game of Survival,2016,2072,56,2010,fiction,speculative fiction,,http://www.wikidata.org/entity/Q22953531
Le Roman de l’avenir,1834,1900,66,1830,fiction,futuristic fiction,Félix Bodin,http://www.wikidata.org/entity/Q64447983
Century Rain,2004,2070,66,2000,fiction,science fiction novel,Alastair Reynolds,http://www.wikidata.org/entity/Q5063196
Q22247892,2015,2084,69,2010,fiction,science fiction novel,Boualem Sansal,http://www.wikidata.org/entity/Q22247892
Diverget,2014,2100,86,2010,film,science fiction film,,https://www.wikidata.org/wiki/Q8561227
Die hundertjdhrigen Eichen oder das Jahr 1914,1821,1910,89,1820,fiction,futuristic fiction,August von Kotzebue,http://www.wikidata.org/entity/Q64455652
Ini. Roman aus dem ein und zwanzigsten Jahrhundert,1810,1900,90,1810,fiction,futuristic fiction,Julius von Voss,http://www.wikidata.org/entity/Q64452658
"Flyvefisken ""Prometheus""",1870,1960,90,1870,fiction,futuristic fiction,Jörgen Vilhem Bergsøe,http://www.wikidata.org/entity/Q64485126
"São Paulo no ano 2000, ou, Regeneração nacional",1909,2000,91,1900,fiction,futuristic fiction,Godofredo Emerson Barnsley,http://www.wikidata.org/entity/Q64495821
Metropolis,1926,2020,94,1920,fiction,science fiction novel,Thea von Harbou,http://www.wikidata.org/entity/Q3307458
Berlin im Jahre 1924,1824,1920,96,1820,fiction,futuristic fiction,Julius von Voss,http://www.wikidata.org/entity/Q64455279
The Fixed Period,1882,1980,98,1880,fiction,futuristic fiction,Anthony Trollope,http://www.wikidata.org/entity/Q7734312
Supernova,2000,2100,100,2000,film,science fiction film,,http://www.wikidata.org/entity/Q1749974
Etwas später! Fortsetzung von Bellamy's Rückblick aus dem Jahre 2000,1891,2000,109,1890,fiction,futuristic fiction,Philipp Wasserburg,http://www.wikidata.org/entity/Q64503848
Looking forward,1890,2000,110,1890,fiction,futuristic fiction,Richard C. Michaelis,http://www.wikidata.org/entity/Q64505950
Lilac Ball,1987,2100,113,1980,film,science fiction film,,http://www.wikidata.org/entity/Q4261614
Plum Blossoms in the Snow,1886,2000,114,1880,fiction,futuristic fiction,Techō Suehiro,http://www.wikidata.org/entity/Q64503725
Dirty Pair: Project Eden,1986,2100,114,1980,film,science fiction film,,http://www.wikidata.org/entity/Q3013259
La Commune en l’an 2073,1874,2000,126,1870,fiction,futuristic fiction,René Du Mesnil de Maricourt,http://www.wikidata.org/entity/Q64494829
Paris en l’an 2000,1869,2000,131,1860,fiction,futuristic fiction,Tony Moilin,http://www.wikidata.org/entity/Q19222402
Hellraiser: Bloodline,1996,2127,131,1990,film,science fiction film,,http://www.wikidata.org/entity/Q1031262
Pages in the History of Brazil written in the Year 2000,1868,2000,132,1860,fiction,futuristic fiction,Joaquim Felício dos Santos,http://www.wikidata.org/entity/Q64489558
Cloud Atlas,2012,2144,132,2010,film,science fiction film,,http://www.wikidata.org/entity/Q28936
"The Reign of George VI, 1900-1925",1763,1900,137,1760,fiction,futuristic fiction,,http://www.wikidata.org/entity/Q64448555
